INFO 2025-08-04 17:00:33,678 autoreload 10228 13136 Watching for file changes with StatReloader
WARNING 2025-08-04 21:46:13,216 log 10228 17704 Not Found: /ws/letters/b5f7c557-636d-4f53-98ef-480046bfef6e/
WARNING 2025-08-04 21:46:13,217 basehttp 10228 17704 "GET /ws/letters/b5f7c557-636d-4f53-98ef-480046bfef6e/ HTTP/1.1" 404 3273
INFO 2025-08-04 21:46:41,388 basehttp 10228 3164 "GET /games/letters/session/b5f7c557-636d-4f53-98ef-480046bfef6e/ HTTP/1.1" 200 26364
WARNING 2025-08-04 21:46:41,437 log 10228 3164 Not Found: /api/session-state/
WARNING 2025-08-04 21:46:41,438 basehttp 10228 3164 "GET /api/session-state/?session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3231
WARNING 2025-08-04 21:46:42,628 log 10228 3164 Not Found: /api/get-question/
WARNING 2025-08-04 21:46:42,629 basehttp 10228 3164 "GET /api/get-question/?letter=%D8%B6&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 21:46:44,216 log 10228 3164 Not Found: /api/get-question/
WARNING 2025-08-04 21:46:44,218 basehttp 10228 3164 "GET /api/get-question/?letter=%D8%AD&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 21:46:50,581 log 10228 3164 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-04 21:46:50,581 basehttp 10228 3164 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3273
INFO 2025-08-04 22:01:44,860 basehttp 10228 4448 "GET /games/letters/session/b5f7c557-636d-4f53-98ef-480046bfef6e/ HTTP/1.1" 200 33457
WARNING 2025-08-04 22:01:46,538 log 10228 4448 Not Found: /api/session-state/
WARNING 2025-08-04 22:01:46,539 basehttp 10228 4448 "GET /api/session-state/?session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3231
WARNING 2025-08-04 22:01:57,979 log 10228 4448 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-04 22:01:57,980 basehttp 10228 4448 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3273
WARNING 2025-08-04 22:02:12,769 log 10228 4448 Not Found: /api/get-question/
WARNING 2025-08-04 22:02:12,770 basehttp 10228 4448 "GET /api/get-question/?letter=%D9%85&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
INFO 2025-08-04 22:21:01,716 basehttp 10228 8344 "GET /games/letters/session/b5f7c557-636d-4f53-98ef-480046bfef6e/ HTTP/1.1" 200 31095
WARNING 2025-08-04 22:21:01,770 log 10228 8344 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-04 22:21:01,771 basehttp 10228 8344 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3273
WARNING 2025-08-04 22:21:01,798 log 10228 8344 Not Found: /api/session-state/
WARNING 2025-08-04 22:21:01,799 basehttp 10228 8344 "GET /api/session-state/?session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3231
WARNING 2025-08-04 22:21:14,278 log 10228 8344 Not Found: /api/get-question/
WARNING 2025-08-04 22:21:14,279 basehttp 10228 8344 "GET /api/get-question/?letter=%D9%8A&session_id=b5f7c557-636d-4f53-98ef-480046bfef6e HTTP/1.1" 404 3246
WARNING 2025-08-04 22:21:24,775 log 10228 8344 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-04 22:21:24,775 basehttp 10228 8344 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3273
